Order,Length,Rule_1,Rule_2,Rule_3,Rule_4
153,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,
154,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,
155,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,
156,5,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-left-square-o <= 0.5),,,
157,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,
158,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,
159,5,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),,,
160,5,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),,,
161,5,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (bottom-middle-square-x > 0.5),,
162,5,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),,,
163,5,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),,,
